予算（百万）	世界興行収入（百万）	ROI	ジャンル	タイトル
3.9	402	104.5	ドラマ	風と共に去りぬ
237	2790	11.8	アクション	アバター
200	2194	11	ドラマ	タイタニック
11	776	70.5	アクション	スター・ウォーズ エピソード4／新たなる希望
356	2798	7.9	アクション	アベンジャーズ／エンドゲーム
8.2	286	34.9	伝記	サウンド・オブ・ミュージック
10.5	793	75.5	ファミリー	E.T.
13	123	9.4	アドベンチャー	十戒
11	245	22.3	ドラマ	ドクトル・ジバゴ
258	2068	8	アクション	スター・ウォーズ／フォースの覚醒
1.5	418	278.7	アニメーション	白雪姫
63	1032	16.4	アクション	ジュラシック・パーク
9	471	52.4	アドベンチャー	ジョーズ
358	2048	5.7	アクション	アベンジャーズ／インフィニティ・ウォー
12	441	36.8	ホラー	エクソシスト
4	303	75.8	アニメーション	101匹わんちゃん
45	969	21.5	アニメーション	ライオン・キング
150	1670	11.1	アクション	ジュラシック・ワールド
4	378	94.5	アニメーション	ジャングル・ブック
115	1027	8.9	アクション	スター・ウォーズ エピソード1／ファントム・メナス
15.2	147	9.7	アドベンチャー	ベン・ハー
220	1519	6.9	アクション	アベンジャーズ
94	1142	12.2	アドベンチャー	ロード・オブ・ザ・リング／王の帰還
23	548	23.8	アクション	スター・ウォーズ エピソード5／帝国の逆襲
75	817	10.9	アクション	インデペンデンス・デイ
255	1657	6.5	アニメーション	ライオン・キング
190	1515	8	アクション	ワイルド・スピード SKY MISSION
125	978	7.8	アドベンチャー	ハリー・ポッターと賢者の石
2.9	264	90.9	アニメーション	シンデレラ
175	1342	7.7	アドベンチャー	ハリー・ポッターと死の秘宝 PART2
10	141	14.1	アクション	サンダーボール作戦
0.9	268	297.2	アニメーション	バンビ
225	1066	4.7	アクション	パイレーツ・オブ・カリビアン／デッドマンズ・チェスト
365	1403	3.8	アクション	アベンジャーズ／エイジ・オブ・ウルトロン
3.5	125	35.7	アクション	007 ゴールドフィンガー
6	397	66.2	ミュージカル	グリース
55	678	12.3	ドラマ	フォレスト・ガンプ
94	951	10.1	アドベンチャー	ロード・オブ・ザ・リング／二つの塔
93	888	9.5	アクション	ロード・オブ・ザ・リング
150	1281	8.5	アニメーション	アナと雪の女王
150	1450	9.7	アニメーション	アナと雪の女王2
94	940	10	アニメーション	ファインディング・ニモ
100	879	8.8	アドベンチャー	ハリー・ポッターと秘密の部屋
150	929	6.2	アニメーション	シュレック2
200	1347	6.7	アクション	ブラックパンサー
258.5	1333	5.2	アクション	スター・ウォーズ／最後のジェダイ
32.4	475	14.7	アクション	スター・ウォーズ エピソード6／ジェダイの帰還
200	1215	6.1	アクション	アイアンマン3
178.5	1308	7.3	アクション	ジュラシック・ワールド／炎の王国
5.8	246	42.8	犯罪	ゴッドファーザー