カテゴリ	日付	HICP（消費者物価調和指数）
通信	2010-01-01	-0.1
通信	2011-01-01	-0.4
通信	2012-01-01	-1.5
通信	2013-01-01	-3.2
通信	2014-01-01	-2
通信	2015-01-01	-0.4
通信	2016-01-01	0.1
通信	2017-01-01	-1.1
通信	2018-01-01	-0.8
通信	2019-01-01	-1.1
通信	2020-01-01	-0.9
衣類・履物	2010-01-01	0.3
衣類・履物	2011-01-01	0.7
衣類・履物	2012-01-01	1.3
衣類・履物	2013-01-01	0.4
衣類・履物	2014-01-01	0.2
衣類・履物	2015-01-01	0.1
衣類・履物	2016-01-01	0.2
衣類・履物	2017-01-01	0.6
衣類・履物	2018-01-01	0.1
衣類・履物	2019-01-01	0.2
衣類・履物	2020-01-01	1
娯楽・文化	2010-01-01	0.3
娯楽・文化	2011-01-01	0.2
娯楽・文化	2012-01-01	0.7
娯楽・文化	2013-01-01	1
娯楽・文化	2014-01-01	0.4
娯楽・文化	2015-01-01	1.3
娯楽・文化	2016-01-01	0.3
娯楽・文化	2017-01-01	1.2
娯楽・文化	2018-01-01	1.4
娯楽・文化	2019-01-01	0.9
娯楽・文化	2020-01-01	1.3
家具・家庭用品・日常の家事サービス	2010-01-01	1
家具・家庭用品・日常の家事サービス	2011-01-01	1.6
家具・家庭用品・日常の家事サービス	2012-01-01	1.5
家具・家庭用品・日常の家事サービス	2013-01-01	0.7
家具・家庭用品・日常の家事サービス	2014-01-01	0.2
家具・家庭用品・日常の家事サービス	2015-01-01	0.2
家具・家庭用品・日常の家事サービス	2016-01-01	0.2
家具・家庭用品・日常の家事サービス	2017-01-01	0.4
家具・家庭用品・日常の家事サービス	2018-01-01	0.6
家具・家庭用品・日常の家事サービス	2019-01-01	0.6
家具・家庭用品・日常の家事サービス	2020-01-01	0.5
食料品・ノンアルコール飲料	2010-01-01	1.1
食料品・ノンアルコール飲料	2011-01-01	3.4
食料品・ノンアルコール飲料	2012-01-01	3
食料品・ノンアルコール飲料	2013-01-01	2.6
食料品・ノンアルコール飲料	2014-01-01	-0.2
食料品・ノンアルコール飲料	2015-01-01	0
食料品・ノンアルコール飲料	2016-01-01	0.2
食料品・ノンアルコール飲料	2017-01-01	2.1
食料品・ノンアルコール飲料	2018-01-01	1.9
食料品・ノンアルコール飲料	2019-01-01	2
食料品・ノンアルコール飲料	2020-01-01	2.5
ノンアルコール飲料	2010-01-01	1.1
ノンアルコール飲料	2011-01-01	5.6
ノンアルコール飲料	2012-01-01	3.8
ノンアルコール飲料	2013-01-01	0.4
ノンアルコール飲料	2014-01-01	-0.1
ノンアルコール飲料	2015-01-01	0.1
ノンアルコール飲料	2016-01-01	-0.1
ノンアルコール飲料	2017-01-01	1.1
ノンアルコール飲料	2018-01-01	1.7
ノンアルコール飲料	2019-01-01	1.1
ノンアルコール飲料	2020-01-01	1.1
保健・医療	2010-01-01	1.4
保健・医療	2011-01-01	2
保健・医療	2012-01-01	2.6
保健・医療	2013-01-01	0.4
保健・医療	2014-01-01	1.1
保健・医療	2015-01-01	1
保健・医療	2016-01-01	0.8
保健・医療	2017-01-01	1.2
保健・医療	2018-01-01	1.1
保健・医療	2019-01-01	1.3
保健・医療	2020-01-01	1.3
外食・宿泊	2010-01-01	1.6
外食・宿泊	2011-01-01	2.4
外食・宿泊	2012-01-01	2.2
外食・宿泊	2013-01-01	2.3
外食・宿泊	2014-01-01	1.7
外食・宿泊	2015-01-01	1.7
外食・宿泊	2016-01-01	1.8
外食・宿泊	2017-01-01	2.5
外食・宿泊	2018-01-01	2.3
外食・宿泊	2019-01-01	2.3
外食・宿泊	2020-01-01	1.6
住居・水道・電気・ガス・その他燃料	2010-01-01	2
住居・水道・電気・ガス・その他燃料	2011-01-01	5
住居・水道・電気・ガス・その他燃料	2012-01-01	4.2
住居・水道・電気・ガス・その他燃料	2013-01-01	2.3
住居・水道・電気・ガス・その他燃料	2014-01-01	1
住居・水道・電気・ガス・その他燃料	2015-01-01	-0.4
住居・水道・電気・ガス・その他燃料	2016-01-01	-0.7
住居・水道・電気・ガス・その他燃料	2017-01-01	1.8
住居・水道・電気・ガス・その他燃料	2018-01-01	2.5
住居・水道・電気・ガス・その他燃料	2019-01-01	1.8
住居・水道・電気・ガス・その他燃料	2020-01-01	-0.2
総合指数（HICP）	2010-01-01	2.1
総合指数（HICP）	2011-01-01	3.1
総合指数（HICP）	2012-01-01	2.6
総合指数（HICP）	2013-01-01	1.5
総合指数（HICP）	2014-01-01	0.6
総合指数（HICP）	2015-01-01	0.1
総合指数（HICP）	2016-01-01	0.2
総合指数（HICP）	2017-01-01	1.7
総合指数（HICP）	2018-01-01	1.9
総合指数（HICP）	2019-01-01	1.5
総合指数（HICP）	2020-01-01	0.7
その他の財・サービス	2010-01-01	2.2
その他の財・サービス	2011-01-01	2.5
その他の財・サービス	2012-01-01	2.2
その他の財・サービス	2013-01-01	1.5
その他の財・サービス	2014-01-01	0.7
その他の財・サービス	2015-01-01	0.9
その他の財・サービス	2016-01-01	1.3
その他の財・サービス	2017-01-01	1
その他の財・サービス	2018-01-01	0.9
その他の財・サービス	2019-01-01	1.5
その他の財・サービス	2020-01-01	2.2
教育	2010-01-01	2.9
教育	2011-01-01	2.5
教育	2012-01-01	3.2
教育	2013-01-01	6.3
教育	2014-01-01	3
教育	2015-01-01	2.9
教育	2016-01-01	2.2
教育	2017-01-01	1.1
教育	2018-01-01	0
教育	2019-01-01	1.4
教育	2020-01-01	1.4
交通	2010-01-01	5.4
交通	2011-01-01	5.9
交通	2012-01-01	3.7
交通	2013-01-01	0.4
交通	2014-01-01	-0.1
交通	2015-01-01	-2.7
交通	2016-01-01	-1.2
交通	2017-01-01	3.2
交通	2018-01-01	3.5
交通	2019-01-01	1.3
交通	2020-01-01	-2.3
