年	地域	国	メダル数
2008	南アジア	アフガニスタン	1
2012	南アジア	アフガニスタン	1
1984	北アフリカ	アルジェリア	2
1992	北アフリカ	アルジェリア	2
1996	北アフリカ	アルジェリア	3
2000	北アフリカ	アルジェリア	5
2008	北アフリカ	アルジェリア	2
2012	北アフリカ	アルジェリア	1
1924	ラテンアメリカ・カリブ海地域	アルゼンチン	11
1928	ラテンアメリカ・カリブ海地域	アルゼンチン	32
1932	ラテンアメリカ・カリブ海地域	アルゼンチン	4
1936	ラテンアメリカ・カリブ海地域	アルゼンチン	11
1948	ラテンアメリカ・カリブ海地域	アルゼンチン	12
1952	ラテンアメリカ・カリブ海地域	アルゼンチン	6
1956	ラテンアメリカ・カリブ海地域	アルゼンチン	2
1960	ラテンアメリカ・カリブ海地域	アルゼンチン	4
1964	ラテンアメリカ・カリブ海地域	アルゼンチン	1
1968	ラテンアメリカ・カリブ海地域	アルゼンチン	2
1972	ラテンアメリカ・カリブ海地域	アルゼンチン	1
1988	ラテンアメリカ・カリブ海地域	アルゼンチン	13
1992	ラテンアメリカ・カリブ海地域	アルゼンチン	2
1996	ラテンアメリカ・カリブ海地域	アルゼンチン	20
2000	ラテンアメリカ・カリブ海地域	アルゼンチン	20
2004	ラテンアメリカ・カリブ海地域	アルゼンチン	47
2008	ラテンアメリカ・カリブ海地域	アルゼンチン	51
2012	ラテンアメリカ・カリブ海地域	アルゼンチン	20
1996	西アジア	アルメニア	2
2000	西アジア	アルメニア	1
2008	西アジア	アルメニア	6
2012	西アジア	アルメニア	2
1908	オーストラレーシア	オーストラレーシア	19
1912	オーストラレーシア	オーストラレーシア	10
1896	オーストラレーシア	オーストラリア	2
1900	オーストラレーシア	オーストラリア	5
1920	オーストラレーシア	オーストラリア	6
1924	オーストラレーシア	オーストラリア	10
1928	オーストラレーシア	オーストラリア	4
1932	オーストラレーシア	オーストラリア	5
1936	オーストラレーシア	オーストラリア	1
1948	オーストラレーシア	オーストラリア	16
1952	オーストラレーシア	オーストラリア	20
1956	オーストラレーシア	オーストラリア	61
1960	オーストラレーシア	オーストラリア	36
1964	オーストラレーシア	オーストラリア	42
1968	オーストラレーシア	オーストラリア	49
1972	オーストラレーシア	オーストラリア	20
1976	オーストラレーシア	オーストラリア	24
1980	オーストラレーシア	オーストラリア	12
1984	オーストラレーシア	オーストラリア	50
1988	オーストラレーシア	オーストラリア	34
1992	オーストラレーシア	オーストラリア	57
1996	オーストラレーシア	オーストラリア	132
2000	オーストラレーシア	オーストラリア	183
2004	オーストラレーシア	オーストラリア	157
2008	オーストラレーシア	オーストラリア	149
2012	オーストラレーシア	オーストラリア	114
1896	西ヨーロッパ	オーストリア	5
1900	西ヨーロッパ	オーストリア	6
1904	西ヨーロッパ	オーストリア	1
1908	西ヨーロッパ	オーストリア	1
1912	西ヨーロッパ	オーストリア	14
1924	西ヨーロッパ	オーストリア	4
1928	西ヨーロッパ	オーストリア	4
1932	西ヨーロッパ	オーストリア	5
1936	西ヨーロッパ	オーストリア	50
1948	西ヨーロッパ	オーストリア	4
1952	西ヨーロッパ	オーストリア	3
1956	西ヨーロッパ	オーストリア	4
1960	西ヨーロッパ	オーストリア	3
1968	西ヨーロッパ	オーストリア	5
1972	西ヨーロッパ	オーストリア	3
1976	西ヨーロッパ	オーストリア	1
1980	西ヨーロッパ	オーストリア	5
1984	西ヨーロッパ	オーストリア	3
1988	西ヨーロッパ	オーストリア	1
1992	西ヨーロッパ	オーストリア	6
1996	西ヨーロッパ	オーストリア	3
2000	西ヨーロッパ	オーストリア	4
2004	西ヨーロッパ	オーストリア	8
2008	西ヨーロッパ	オーストリア	3
1996	西アジア	アゼルバイジャン	1
2000	西アジア	アゼルバイジャン	3
2004	西アジア	アゼルバイジャン	5
2008	西アジア	アゼルバイジャン	7
2012	西アジア	アゼルバイジャン	10
1956	ラテンアメリカ・カリブ海地域	バハマ	2
1964	ラテンアメリカ・カリブ海地域	バハマ	2
1992	ラテンアメリカ・カリブ海地域	バハマ	1
1996	ラテンアメリカ・カリブ海地域	バハマ	5
2000	ラテンアメリカ・カリブ海地域	バハマ	6
2004	ラテンアメリカ・カリブ海地域	バハマ	2
2008	ラテンアメリカ・カリブ海地域	バハマ	5
2012	ラテンアメリカ・カリブ海地域	バハマ	4
2012	西アジア	バーレーン	1
2000	ラテンアメリカ・カリブ海地域	バルバドス	1
1996	東ヨーロッパ	ベラルーシ	23
2000	東ヨーロッパ	ベラルーシ	22
2004	東ヨーロッパ	ベラルーシ	17
2008	東ヨーロッパ	ベラルーシ	30
2012	東ヨーロッパ	ベラルーシ	21
1900	西ヨーロッパ	ベルギー	39
1908	西ヨーロッパ	ベルギー	31
1912	西ヨーロッパ	ベルギー	19
1920	西ヨーロッパ	ベルギー	188
1924	西ヨーロッパ	ベルギー	38
1928	西ヨーロッパ	ベルギー	5
1936	西ヨーロッパ	ベルギー	12
1948	西ヨーロッパ	ベルギー	14
1952	西ヨーロッパ	ベルギー	7
1956	西ヨーロッパ	ベルギー	2
1960	西ヨーロッパ	ベルギー	4
1964	西ヨーロッパ	ベルギー	3
1968	西ヨーロッパ	ベルギー	3
1972	西ヨーロッパ	ベルギー	2
1976	西ヨーロッパ	ベルギー	9
1980	西ヨーロッパ	ベルギー	1
1984	西ヨーロッパ	ベルギー	5
1988	西ヨーロッパ	ベルギー	2
1992	西ヨーロッパ	ベルギー	3
1996	西ヨーロッパ	ベルギー	6
2000	西ヨーロッパ	ベルギー	7
2004	西ヨーロッパ	ベルギー	3
2008	西ヨーロッパ	ベルギー	5
2012	西ヨーロッパ	ベルギー	3
1976	北アメリカ	バミューダ	1
1900	東ヨーロッパ	ボヘミア	2
1908	東ヨーロッパ	ボヘミア	5
2012	サブサハラ・アフリカ	ボツワナ	1
1920	ラテンアメリカ・カリブ海地域	ブラジル	7
1948	ラテンアメリカ・カリブ海地域	ブラジル	12
1952	ラテンアメリカ・カリブ海地域	ブラジル	3
1956	ラテンアメリカ・カリブ海地域	ブラジル	1
1960	ラテンアメリカ・カリブ海地域	ブラジル	13
1964	ラテンアメリカ・カリブ海地域	ブラジル	12
1968	ラテンアメリカ・カリブ海地域	ブラジル	4
1972	ラテンアメリカ・カリブ海地域	ブラジル	2
1976	ラテンアメリカ・カリブ海地域	ブラジル	3
1980	ラテンアメリカ・カリブ海地域	ブラジル	9
1984	ラテンアメリカ・カリブ海地域	ブラジル	37
1988	ラテンアメリカ・カリブ海地域	ブラジル	28
1992	ラテンアメリカ・カリブ海地域	ブラジル	14
1996	ラテンアメリカ・カリブ海地域	ブラジル	64
2000	ラテンアメリカ・カリブ海地域	ブラジル	48
2004	ラテンアメリカ・カリブ海地域	ブラジル	40
2008	ラテンアメリカ・カリブ海地域	ブラジル	75
2012	ラテンアメリカ・カリブ海地域	ブラジル	59
1960	ラテンアメリカ・カリブ海地域	イギリス領西インド諸島	5
1952	東ヨーロッパ	ブルガリア	1
1956	東ヨーロッパ	ブルガリア	18
1960	東ヨーロッパ	ブルガリア	7
1964	東ヨーロッパ	ブルガリア	10
1968	東ヨーロッパ	ブルガリア	26
1972	東ヨーロッパ	ブルガリア	22
1976	東ヨーロッパ	ブルガリア	39
1980	東ヨーロッパ	ブルガリア	94
1988	東ヨーロッパ	ブルガリア	41
1992	東ヨーロッパ	ブルガリア	17
1996	東ヨーロッパ	ブルガリア	21
2000	東ヨーロッパ	ブルガリア	13
2004	東ヨーロッパ	ブルガリア	17
2008	東ヨーロッパ	ブルガリア	5
2012	東ヨーロッパ	ブルガリア	2
1996	サブサハラ・アフリカ	ブルンジ	1
1968	サブサハラ・アフリカ	カメルーン	1
1984	サブサハラ・アフリカ	カメルーン	1
2000	サブサハラ・アフリカ	カメルーン	18
2004	サブサハラ・アフリカ	カメルーン	1
2008	サブサハラ・アフリカ	カメルーン	1
2012	サブサハラ・アフリカ	カメルーン	1
1900	北アメリカ	カナダ	2
1904	北アメリカ	カナダ	35
1908	北アメリカ	カナダ	51
1912	北アメリカ	カナダ	8
1920	北アメリカ	カナダ	16
1924	北アメリカ	カナダ	20
1928	北アメリカ	カナダ	33
1932	北アメリカ	カナダ	38
1936	北アメリカ	カナダ	22
1948	北アメリカ	カナダ	6
1952	北アメリカ	カナダ	4
1956	北アメリカ	カナダ	19
1960	北アメリカ	カナダ	9
1964	北アメリカ	カナダ	5
1968	北アメリカ	カナダ	10
1972	北アメリカ	カナダ	10
1976	北アメリカ	カナダ	20
1984	北アメリカ	カナダ	86
1988	北アメリカ	カナダ	21
1992	北アメリカ	カナダ	44
1996	北アメリカ	カナダ	51
2000	北アメリカ	カナダ	31
2004	北アメリカ	カナダ	17
2008	北アメリカ	カナダ	34
2012	北アメリカ	カナダ	57
1928	ラテンアメリカ・カリブ海地域	チリ	1
1952	ラテンアメリカ・カリブ海地域	チリ	4
1956	ラテンアメリカ・カリブ海地域	チリ	4
1988	ラテンアメリカ・カリブ海地域	チリ	1
2000	ラテンアメリカ・カリブ海地域	チリ	18
2004	ラテンアメリカ・カリブ海地域	チリ	4
2008	ラテンアメリカ・カリブ海地域	チリ	1
1984	東アジア	中国	76
1988	東アジア	中国	53
1992	東アジア	中国	83
1996	東アジア	中国	110
2000	東アジア	中国	79
2004	東アジア	中国	94
2008	東アジア	中国	184
2012	東アジア	中国	128
1960	東アジア	チャイニーズタイペイ	1
1968	東アジア	チャイニーズタイペイ	1
1984	東アジア	チャイニーズタイペイ	1
1992	東アジア	チャイニーズタイペイ	20
1996	東アジア	チャイニーズタイペイ	1
2000	東アジア	チャイニーズタイペイ	5
2004	東アジア	チャイニーズタイペイ	9
2008	東アジア	チャイニーズタイペイ	4
2012	東アジア	チャイニーズタイペイ	2
1972	ラテンアメリカ・カリブ海地域	コロンビア	3
1984	ラテンアメリカ・カリブ海地域	コロンビア	1
1988	ラテンアメリカ・カリブ海地域	コロンビア	1
1992	ラテンアメリカ・カリブ海地域	コロンビア	1
2000	ラテンアメリカ・カリブ海地域	コロンビア	1
2004	ラテンアメリカ・カリブ海地域	コロンビア	2
2008	ラテンアメリカ・カリブ海地域	コロンビア	2
2012	ラテンアメリカ・カリブ海地域	コロンビア	8
1988	ラテンアメリカ・カリブ海地域	コスタリカ	1
1996	ラテンアメリカ・カリブ海地域	コスタリカ	1
2000	ラテンアメリカ・カリブ海地域	コスタリカ	2
1992	南ヨーロッパ	クロアチア	15
1996	南ヨーロッパ	クロアチア	29
2000	南ヨーロッパ	クロアチア	10
2004	南ヨーロッパ	クロアチア	20
2008	南ヨーロッパ	クロアチア	5
2012	南ヨーロッパ	クロアチア	35
1900	ラテンアメリカ・カリブ海地域	キューバ	2
1904	ラテンアメリカ・カリブ海地域	キューバ	9
1948	ラテンアメリカ・カリブ海地域	キューバ	2
1964	ラテンアメリカ・カリブ海地域	キューバ	1
1968	ラテンアメリカ・カリブ海地域	キューバ	10
1972	ラテンアメリカ・カリブ海地域	キューバ	22
1976	ラテンアメリカ・カリブ海地域	キューバ	24
1980	ラテンアメリカ・カリブ海地域	キューバ	20
1992	ラテンアメリカ・カリブ海地域	キューバ	71
1996	ラテンアメリカ・カリブ海地域	キューバ	57
2000	ラテンアメリカ・カリブ海地域	キューバ	69
2004	ラテンアメリカ・カリブ海地域	キューバ	61
2008	ラテンアメリカ・カリブ海地域	キューバ	47
2012	ラテンアメリカ・カリブ海地域	キューバ	15
2012	西アジア	キプロス	1
1920	東ヨーロッパ	チェコ	10
1924	東ヨーロッパ	チェコ	10
1928	東ヨーロッパ	チェコ	16
1932	東ヨーロッパ	チェコ	4
1936	東ヨーロッパ	チェコ	17
1948	東ヨーロッパ	チェコ	20
1952	東ヨーロッパ	チェコ	25
1956	東ヨーロッパ	チェコ	7
1960	東ヨーロッパ	チェコ	22
1964	東ヨーロッパ	チェコ	55
1968	東ヨーロッパ	チェコ	29
1972	東ヨーロッパ	チェコ	29
1976	東ヨーロッパ	チェコ	15
1980	東ヨーロッパ	チェコ	52
1988	東ヨーロッパ	チェコ	10
1992	東ヨーロッパ	チェコ	8
1996	東ヨーロッパ	チェコ	13
2000	東ヨーロッパ	チェコ	9
2004	東ヨーロッパ	チェコ	12
2008	東ヨーロッパ	チェコ	7
2012	東ヨーロッパ	チェコ	15
1896	北ヨーロッパ	デンマーク	6
1900	北ヨーロッパ	デンマーク	6
1908	北ヨーロッパ	デンマーク	15
1912	北ヨーロッパ	デンマーク	84
1920	北ヨーロッパ	デンマーク	75
1924	北ヨーロッパ	デンマーク	12
1928	北ヨーロッパ	デンマーク	13
1932	北ヨーロッパ	デンマーク	9
1936	北ヨーロッパ	デンマーク	6
1948	北ヨーロッパ	デンマーク	49
1952	北ヨーロッパ	デンマーク	9
1956	北ヨーロッパ	デンマーク	7
1960	北ヨーロッパ	デンマーク	23
1964	北ヨーロッパ	デンマーク	12
1968	北ヨーロッパ	デンマーク	16
1972	北ヨーロッパ	デンマーク	1
1976	北ヨーロッパ	デンマーク	8
1980	北ヨーロッパ	デンマーク	8
1984	北ヨーロッパ	デンマーク	15
1988	北ヨーロッパ	デンマーク	7
1992	北ヨーロッパ	デンマーク	14
1996	北ヨーロッパ	デンマーク	24
2000	北ヨーロッパ	デンマーク	25
2004	北ヨーロッパ	デンマーク	29
2008	北ヨーロッパ	デンマーク	18
2012	北ヨーロッパ	デンマーク	16
1988	サブサハラ・アフリカ	ジブチ	1
1984	ラテンアメリカ・カリブ海地域	ドミニカ共和国	1
2004	ラテンアメリカ・カリブ海地域	ドミニカ共和国	1
2008	ラテンアメリカ・カリブ海地域	ドミニカ共和国	2
2012	ラテンアメリカ・カリブ海地域	ドミニカ共和国	2
1968	西ヨーロッパ	東ドイツ	51
1972	西ヨーロッパ	東ドイツ	148
1976	西ヨーロッパ	東ドイツ	192
1980	西ヨーロッパ	東ドイツ	260
1988	西ヨーロッパ	東ドイツ	174
1996	ラテンアメリカ・カリブ海地域	エクアドル	1
2008	ラテンアメリカ・カリブ海地域	エクアドル	1
1928	北アフリカ	エジプト	4
1936	北アフリカ	エジプト	5
1948	北アフリカ	エジプト	5
1952	北アフリカ	エジプト	1
1960	北アフリカ	エジプト	2
1984	北アフリカ	エジプト	1
2004	北アフリカ	エジプト	5
2008	北アフリカ	エジプト	1
2012	北アフリカ	エジプト	4
2004	サブサハラ・アフリカ	エリトリア	1
1920	北ヨーロッパ	エストニア	3
1924	北ヨーロッパ	エストニア	6
1928	北ヨーロッパ	エストニア	9
1936	北ヨーロッパ	エストニア	7
1992	北ヨーロッパ	エストニア	3
2000	北ヨーロッパ	エストニア	3
2004	北ヨーロッパ	エストニア	3
2008	北ヨーロッパ	エストニア	3
2012	北ヨーロッパ	エストニア	2
1960	サブサハラ・アフリカ	エチオピア	1
1964	サブサハラ・アフリカ	エチオピア	1
1968	サブサハラ・アフリカ	エチオピア	2
1972	サブサハラ・アフリカ	エチオピア	2
1980	サブサハラ・アフリカ	エチオピア	4
1992	サブサハラ・アフリカ	エチオピア	3
1996	サブサハラ・アフリカ	エチオピア	3
2000	サブサハラ・アフリカ	エチオピア	8
2004	サブサハラ・アフリカ	エチオピア	7
2008	サブサハラ・アフリカ	エチオピア	7
2012	サブサハラ・アフリカ	エチオピア	7
1908	北ヨーロッパ	フィンランド	29
1912	北ヨーロッパ	フィンランド	67
1920	北ヨーロッパ	フィンランド	49
1924	北ヨーロッパ	フィンランド	52
1928	北ヨーロッパ	フィンランド	25
1932	北ヨーロッパ	フィンランド	29
1936	北ヨーロッパ	フィンランド	26
1948	北ヨーロッパ	フィンランド	29
1952	北ヨーロッパ	フィンランド	40
1956	北ヨーロッパ	フィンランド	26
1960	北ヨーロッパ	フィンランド	6
1964	北ヨーロッパ	フィンランド	5
1968	北ヨーロッパ	フィンランド	4
1972	北ヨーロッパ	フィンランド	10
1976	北ヨーロッパ	フィンランド	6
1980	北ヨーロッパ	フィンランド	9
1984	北ヨーロッパ	フィンランド	12
1988	北ヨーロッパ	フィンランド	4
1992	北ヨーロッパ	フィンランド	7
1996	北ヨーロッパ	フィンランド	4
2000	北ヨーロッパ	フィンランド	5
2004	北ヨーロッパ	フィンランド	2
2008	北ヨーロッパ	フィンランド	5
2012	北ヨーロッパ	フィンランド	5
1896	西ヨーロッパ	フランス	11
1900	西ヨーロッパ	フランス	185
1908	西ヨーロッパ	フランス	35
1912	西ヨーロッパ	フランス	25
1920	西ヨーロッパ	フランス	141
1924	西ヨーロッパ	フランス	122
1928	西ヨーロッパ	フランス	36
1932	西ヨーロッパ	フランス	37
1936	西ヨーロッパ	フランス	43
1948	西ヨーロッパ	フランス	68
1952	西ヨーロッパ	フランス	39
1956	西ヨーロッパ	フランス	32
1960	西ヨーロッパ	フランス	11
1964	西ヨーロッパ	フランス	31
1968	西ヨーロッパ	フランス	27
1972	西ヨーロッパ	フランス	22
1976	西ヨーロッパ	フランス	20
1980	西ヨーロッパ	フランス	29
1984	西ヨーロッパ	フランス	68
1988	西ヨーロッパ	フランス	29
1992	西ヨーロッパ	フランス	57
1996	西ヨーロッパ	フランス	51
2000	西ヨーロッパ	フランス	66
2004	西ヨーロッパ	フランス	53
2008	西ヨーロッパ	フランス	76
2012	西ヨーロッパ	フランス	82
2012	サブサハラ・アフリカ	ガボン	1
1996	西アジア	ジョージア	2
2000	西アジア	ジョージア	6
2004	西アジア	ジョージア	4
2008	西アジア	ジョージア	6
2012	西アジア	ジョージア	7
1896	西ヨーロッパ	ドイツ	33
1900	西ヨーロッパ	ドイツ	40
1904	西ヨーロッパ	ドイツ	13
1908	西ヨーロッパ	ドイツ	22
1912	西ヨーロッパ	ドイツ	52
1928	西ヨーロッパ	ドイツ	72
1932	西ヨーロッパ	ドイツ	38
1936	西ヨーロッパ	ドイツ	210
1952	西ヨーロッパ	ドイツ	40
1992	西ヨーロッパ	ドイツ	198
1996	西ヨーロッパ	ドイツ	124
2000	西ヨーロッパ	ドイツ	119
2004	西ヨーロッパ	ドイツ	149
2008	西ヨーロッパ	ドイツ	101
2012	西ヨーロッパ	ドイツ	94
1960	サブサハラ・アフリカ	ガーナ	1
1964	サブサハラ・アフリカ	ガーナ	1
1972	サブサハラ・アフリカ	ガーナ	1
1992	サブサハラ・アフリカ	ガーナ	13
1896	北ヨーロッパ	イギリス	7
1900	北ヨーロッパ	イギリス	78
1904	北ヨーロッパ	イギリス	2
1908	北ヨーロッパ	イギリス	347
1912	北ヨーロッパ	イギリス	160
1920	北ヨーロッパ	イギリス	107
1924	北ヨーロッパ	イギリス	66
1928	北ヨーロッパ	イギリス	55
1932	北ヨーロッパ	イギリス	34
1936	北ヨーロッパ	イギリス	36
1948	北ヨーロッパ	イギリス	56
1952	北ヨーロッパ	イギリス	31
1956	北ヨーロッパ	イギリス	45
1960	北ヨーロッパ	イギリス	28
1964	北ヨーロッパ	イギリス	28
1968	北ヨーロッパ	イギリス	18
1972	北ヨーロッパ	イギリス	29
1976	北ヨーロッパ	イギリス	32
1980	北ヨーロッパ	イギリス	45
1984	北ヨーロッパ	イギリス	72
1988	北ヨーロッパ	イギリス	53
1992	北ヨーロッパ	イギリス	50
1996	北ヨーロッパ	イギリス	26
2000	北ヨーロッパ	イギリス	55
2004	北ヨーロッパ	イギリス	57
2008	北ヨーロッパ	イギリス	77
2012	北ヨーロッパ	イギリス	126
1896	南ヨーロッパ	ギリシャ	52
1904	南ヨーロッパ	ギリシャ	2
1908	南ヨーロッパ	ギリシャ	3
1912	南ヨーロッパ	ギリシャ	2
1920	南ヨーロッパ	ギリシャ	5
1956	南ヨーロッパ	ギリシャ	1
1960	南ヨーロッパ	ギリシャ	3
1968	南ヨーロッパ	ギリシャ	1
1972	南ヨーロッパ	ギリシャ	2
1980	南ヨーロッパ	ギリシャ	5
1984	南ヨーロッパ	ギリシャ	2
1988	南ヨーロッパ	ギリシャ	1
1992	南ヨーロッパ	ギリシャ	2
1996	南ヨーロッパ	ギリシャ	8
2000	南ヨーロッパ	ギリシャ	18
2004	南ヨーロッパ	ギリシャ	31
2008	南ヨーロッパ	ギリシャ	7
2012	南ヨーロッパ	ギリシャ	3
2012	ラテンアメリカ・カリブ海地域	グレナダ	1
2012	ラテンアメリカ・カリブ海地域	グアテマラ	1
1980	ラテンアメリカ・カリブ海地域	ガイアナ	1
1924	ラテンアメリカ・カリブ海地域	ハイチ	7
1928	ラテンアメリカ・カリブ海地域	ハイチ	1
1996	東アジア	香港	1
2004	東アジア	香港	2
2012	東アジア	香港	1
1896	東ヨーロッパ	ハンガリー	6
1900	東ヨーロッパ	ハンガリー	5
1904	東ヨーロッパ	ハンガリー	4
1908	東ヨーロッパ	ハンガリー	18
1912	東ヨーロッパ	ハンガリー	30
1924	東ヨーロッパ	ハンガリー	20
1928	東ヨーロッパ	ハンガリー	20
1932	東ヨーロッパ	ハンガリー	32
1936	東ヨーロッパ	ハンガリー	42
1948	東ヨーロッパ	ハンガリー	60
1952	東ヨーロッパ	ハンガリー	101
1956	東ヨーロッパ	ハンガリー	64
1960	東ヨーロッパ	ハンガリー	65
1964	東ヨーロッパ	ハンガリー	56
1968	東ヨーロッパ	ハンガリー	81
1972	東ヨーロッパ	ハンガリー	81
1976	東ヨーロッパ	ハンガリー	55
1980	東ヨーロッパ	ハンガリー	61
1988	東ヨーロッパ	ハンガリー	44
1992	東ヨーロッパ	ハンガリー	45
1996	東ヨーロッパ	ハンガリー	43
2000	東ヨーロッパ	ハンガリー	53
2004	東ヨーロッパ	ハンガリー	40
2008	東ヨーロッパ	ハンガリー	27
2012	東ヨーロッパ	ハンガリー	26
1956	北ヨーロッパ	アイスランド	1
1984	北ヨーロッパ	アイスランド	1
2000	北ヨーロッパ	アイスランド	1
2008	北ヨーロッパ	アイスランド	14
1900	南アジア	インド	2
1928	南アジア	インド	15
1932	南アジア	インド	11
1936	南アジア	インド	19
1948	南アジア	インド	20
1952	南アジア	インド	15
1956	南アジア	インド	17
1960	南アジア	インド	13
1964	南アジア	インド	15
1968	南アジア	インド	15
1972	南アジア	インド	14
1980	南アジア	インド	16
1996	南アジア	インド	1
2000	南アジア	インド	1
2004	南アジア	インド	1
2008	南アジア	インド	3
2012	南アジア	インド	6
1988	東南アジア	インドネシア	3
1992	東南アジア	インドネシア	6
1996	東南アジア	インドネシア	6
2000	東南アジア	インドネシア	8
2004	東南アジア	インドネシア	5
2008	東南アジア	インドネシア	7
2012	東南アジア	インドネシア	3
1896	東ヨーロッパ	国際オリンピック委員会混成チーム	6
1900	東ヨーロッパ	国際オリンピック委員会混成チーム	34
1904	東ヨーロッパ	国際オリンピック委員会混成チーム	8
1992	東ヨーロッパ	国際オリンピック委員会統一チーム	223
1948	西アジア	イラン	1
1952	西アジア	イラン	7
1956	西アジア	イラン	5
1960	西アジア	イラン	4
1964	西アジア	イラン	2
1968	西アジア	イラン	5
1972	西アジア	イラン	3
1976	西アジア	イラン	2
1988	西アジア	イラン	1
1992	西アジア	イラン	3
1996	西アジア	イラン	3
2000	西アジア	イラン	4
2004	西アジア	イラン	6
2008	西アジア	イラン	2
2012	西アジア	イラン	13
1960	西アジア	イラク	1
1928	北ヨーロッパ	アイルランド	1
1932	北ヨーロッパ	アイルランド	2
1952	北ヨーロッパ	アイルランド	1
1956	北ヨーロッパ	アイルランド	5
1964	北ヨーロッパ	アイルランド	1
1980	北ヨーロッパ	アイルランド	3
1984	北ヨーロッパ	アイルランド	1
1992	北ヨーロッパ	アイルランド	2
1996	北ヨーロッパ	アイルランド	4
2000	北ヨーロッパ	アイルランド	1
2008	北ヨーロッパ	アイルランド	3
2012	北ヨーロッパ	アイルランド	6
1992	西アジア	イスラエル	2
1996	西アジア	イスラエル	1
2000	西アジア	イスラエル	1
2004	西アジア	イスラエル	2
2008	西アジア	イスラエル	1
1900	南ヨーロッパ	イタリア	4
1908	南ヨーロッパ	イタリア	7
1912	南ヨーロッパ	イタリア	21
1920	南ヨーロッパ	イタリア	84
1924	南ヨーロッパ	イタリア	51
1928	南ヨーロッパ	イタリア	70
1932	南ヨーロッパ	イタリア	77
1936	南ヨーロッパ	イタリア	71
1948	南ヨーロッパ	イタリア	63
1952	南ヨーロッパ	イタリア	53
1956	南ヨーロッパ	イタリア	46
1960	南ヨーロッパ	イタリア	88
1964	南ヨーロッパ	イタリア	50
1968	南ヨーロッパ	イタリア	32
1972	南ヨーロッパ	イタリア	25
1976	南ヨーロッパ	イタリア	31
1980	南ヨーロッパ	イタリア	37
1984	南ヨーロッパ	イタリア	63
